ln_output1802_all,hugue_1700_pc,poploss_keyser,ln_workers1802_all,ln_looms1802_all,mi_ln_input1802_all,no_looms,ln_popcity1802,vieh1816_schaf_ganz_veredelt_pc,pop1816_prot_pc,no_hugue_possible,imputed_dummy,textil_1680_dummy
7.052721024,0,NA,3.713572025,-0.693147182,6.400232315,1,8.539150238,0,0.937324464,0,1,0
7.53369379,0.010740975,NA,2.639057398,2.602689743,6.795705795,0,10.94040203,5.64E-05,0.945908666,0,0,0
8.471986771,0.010740975,NA,3.583518982,3.597312212,7.937374592,0,10.94040203,5.64E-05,0.945908666,0,0,0
11.38924217,0.010740975,NA,5.446737289,3.860729694,11.09527111,0,10.94040203,5.64E-05,0.945908666,0,0,0
10.70092678,0.010740975,NA,5.298317432,4.505349636,10.11940479,0,10.94040203,5.64E-05,0.945908666,0,0,0
7.851661205,0.010740975,NA,2.639057398,2.140066147,7.473069191,0,10.94040203,5.64E-05,0.945908666,0,0,0
8.844480515,0.010740975,NA,5.159055233,-0.693147182,8.535033226,1,10.94040203,5.64E-05,0.945908666,0,0,0
9.461098671,0.010740975,NA,3.135494232,-0.693147182,8.74193573,1,10.94040203,5.64E-05,0.945908666,0,0,0
10.44685745,0.010740975,NA,4.477336884,4.714024544,10.03758144,0,10.94040203,5.64E-05,0.945908666,0,0,0
6.726233482,0.010740975,NA,2.079441547,-0.693147182,6.24804306,1,10.94040203,5.64E-05,0.945908666,0,0,0
6.473890781,0.010740975,NA,1.098612309,0.91629076,6.253829002,0,10.94040203,5.64E-05,0.945908666,0,0,0
9.696647644,0.010740975,NA,3.091042519,-0.693147182,9.0710783,1,10.94040203,5.64E-05,0.945908666,0,0,0
7.170119762,0,NA,2.484906673,-0.693147182,6.142037392,1,7.899895191,0.019823452,0.983852386,0,0,0
6.380122662,0,NA,0,0.405465096,6.142037392,0,7.899895191,0.019823452,0.983852386,0,0,0
6.835184574,0,NA,2.197224617,2.251291752,6.551080227,0,7.421775818,0.033314489,0.955168128,0,0,0
4.382026672,0,NA,1.098612309,-0.693147182,3.555348158,1,7.421775818,0.033314489,0.955168128,0,0,0
7.133296013,0,NA,2.079441547,1.704748034,6.536691666,0,7.697121143,0.033285141,0.933308899,0,0,0
6.763885021,0,NA,2.197224617,-0.693147182,6.33859396,1,7.697121143,0.033285141,0.933308899,0,0,0
6.71538353,0,NA,0.693147182,0.91629076,5.693732262,0,7.196686745,0.033285141,0.996779382,0,0,0
6.109247684,0,NA,1.098612309,-0.693147182,5.187386036,1,7.196686745,0.033285141,0.996779382,0,0,0
5.703782558,0,NA,1.098612309,-0.693147182,5.298317432,1,8.147288322,0.019303706,0.975091875,0,0,0
7.32118845,0,NA,1.609437943,1.252762914,6.756932259,0,8.147288322,0.019303706,0.975091875,0,0,0
6.907755375,0,NA,1.945910096,1.504077435,6.396929741,0,8.147288322,0.019303706,0.975091875,0,0,0
5.56068182,0,NA,1.945910096,-0.693147182,4.499809742,1,7.658227444,0.019303706,0.974004447,0,0,0
7.894318104,0,NA,3.526360512,2.525728703,7.313220501,0,7.658227444,0.019303706,0.974004447,0,0,0
6.095824718,0,NA,1.098612309,-0.693147182,5.010635376,1,7.595890045,0.019303706,0.983663917,0,0,0
6.733401775,0,NA,2.484906673,1.871802211,6.291569233,0,7.595890045,0.019303706,0.983663917,0,0,0
5.105945587,0,NA,0.693147182,-0.693147182,4.317488194,1,7.595890045,0.019303706,0.983663917,0,0,0
5.59842205,0,NA,0.693147182,-0.693147182,4.941642284,1,7.390181541,0.019314403,0.982468426,0,0,0
9.501366615,0,NA,5.288267136,3.624341011,9.148465157,0,7.390181541,0.019314403,0.982468426,0,0,0
4.60517025,0,NA,1.098612309,-0.693147182,3.912023067,1,7.216709614,0.019314403,0.991052985,0,0,0
7.544332027,0,NA,2.833213329,2.67414856,6.946976185,0,7.216709614,0.019314403,0.991052985,0,0,0
6.214608192,0,NA,0,-0.693147182,5.52146101,1,7.216709614,0.019314403,0.991052985,0,0,0
5.010635376,0,-1.112499952,0.693147182,-0.693147182,4.317488194,1,7.273092747,0.019277491,0.948330164,0,0,0
8.407378197,0,-1.112499952,3.401197433,3.020424843,8.069028854,0,7.273092747,0.019277491,0.948330164,0,0,0
7.404887676,0,NA,2.302585125,2.251291752,6.99942255,0,8.665267944,0,0.17201744,1,0,0
5.736572266,0,NA,0.693147182,-0.693147182,5.327876091,1,8.665267944,0,0.17201744,1,0,0
6.946976185,0,NA,1.945910096,2.014903069,6.54102993,0,8.665267944,0,0.17201744,1,0,0
5.192956924,0,NA,1.386294365,-0.693147182,4.787491798,1,7.719130039,0,0.043650795,1,0,0
9.046644211,0,NA,4.077537537,3.749504089,8.641179085,0,7.719130039,0,0.043650795,1,0,0
6.396929741,0,NA,2.564949274,2.251291752,5.991464615,0,7.670428753,0,0.083371095,1,0,0
6.790097237,0,NA,1.609437943,-0.693147182,6.383506775,1,7.670428753,0,0.083371095,1,0,0
4.382026672,0,NA,0,-0.693147182,3.970291853,1,7.23849678,0,0.049711816,1,0,0
7.612336636,0,NA,2.197224617,2.140066147,7.206377506,0,7.23849678,0,0.049711816,1,0,0
6.331501961,0,NA,2.484906673,2.44234705,5.924255848,0,7.712891102,0.010606061,0.157841817,1,0,0
6.72503376,0,NA,1.386294365,-0.693147182,6.318968296,1,7.712891102,0.010606061,0.157841817,1,0,0
7.174724102,0,NA,3.044522524,2.9704144,6.768493176,0,7.842671394,0.010606061,0.036255412,1,0,0
7.185387135,0,NA,3.135494232,-0.693147182,6.779922009,1,7.842671394,0.010606061,0.036255412,1,0,0
5.613128185,0,NA,0.693147182,-0.693147182,5.204006672,1,7.842671394,0.010606061,0.036255412,1,0,0
7.875879288,0,NA,2.397895336,2.251291752,7.470223904,0,7.78280735,0.01061458,0.202836886,1,0,0
7.20340538,0,NA,2.302585125,2.351375341,6.797940254,0,7.78280735,0.01061458,0.202836886,1,0,0
4.330733299,0,NA,0,-0.693147182,3.912023067,1,7.78280735,0.01061458,0.202836886,1,0,0
4.465908051,0,NA,0,-0.693147182,4.060442924,1,7.709756851,0.01061458,0.070750237,1,0,0
6.206575871,0,NA,1.609437943,-0.693147182,5.79909277,1,7.709756851,0.01061458,0.070750237,1,0,0
6.364750862,0,NA,1.098612309,1.252762914,5.958424568,0,7.709756851,0.01061458,0.070750237,1,0,0
4.60517025,0,NA,0,-0.693147182,4.189654827,1,7.281385899,0.01061458,0.131007239,1,0,0
6.253829002,0,NA,2.484906673,-0.693147182,5.846438885,1,7.281385899,0.01061458,0.131007239,1,0,0
7.832014084,0,NA,2.484906673,2.251291752,7.426548958,0,7.281385899,0.01061458,0.131007239,1,0,0
6.366470337,0,NA,1.609437943,-0.693147182,5.961005211,1,7.382124424,0.01061458,0.118929632,1,0,0
4.890348911,0,NA,0,-0.693147182,4.477336884,1,7.382124424,0.01061458,0.118929632,1,0,0
5.863631248,0,NA,1.098612309,1.252762914,5.455321312,0,7.382124424,0.01061458,0.118929632,1,0,0
6.700731277,0,NA,1.609437943,1.704748034,6.295266151,0,7.607878208,0.01063514,0.120307989,1,0,0
5.811141014,0,NA,1.609437943,-0.693147182,5.402677536,1,7.607878208,0.01063514,0.120307989,1,0,0
6.086774826,0,NA,1.386294365,-0.693147182,5.393627644,1,7.247792721,6.35E-05,0.946859896,0,0,0
9.928229332,0,NA,4.820281506,3.960813284,9.259130478,0,7.247792721,6.35E-05,0.946859896,0,0,0
6.109247684,0,NA,2.484906673,-0.693147182,5.59842205,1,7.45472002,8.13E-05,0.916666687,0,0,0
7.160068989,0,NA,3.583518982,2.67414856,6.570882797,0,7.45472002,8.13E-05,0.916666687,0,0,0
4.60517025,0,NA,1.098612309,-0.693147182,3.912023067,1,7.425953865,8.13E-05,0.933057308,0,0,0
4.60517025,0,NA,0,0.405465096,3.912023067,0,7.425953865,8.13E-05,0.933057308,0,0,0
8.258681297,0,NA,4.330733299,3.624341011,7.669495106,0,7.425953865,8.13E-05,0.933057308,0,0,0
8.354909897,0,NA,3.891820192,3.157000303,8.176110268,0,7.468513489,0.015388831,0.923885822,0,0,0
6.666956902,0,NA,1.386294365,-0.693147182,6.366470337,1,7.468513489,0.015388831,0.923885822,0,0,0
7.780303001,0,NA,3.33220458,2.602689743,7.594381332,0,6.940222263,0.015388831,0.965610862,0,0,0
5.272999763,0,NA,0,-0.693147182,4.744932175,1,6.940222263,0.015388831,0.965610862,0,0,0
6.340359211,0,NA,2.197224617,-0.693147182,5.828945637,1,6.986566544,0.015388831,0.920212746,0,0,0
7.149916649,0,NA,2.564949274,2.014903069,6.579251289,0,6.986566544,0.015388831,0.920212746,0,0,0
3.850147486,0,0.201754391,0,-0.693147182,3.178053856,1,6.951772213,0.015388831,0.86717999,0,0,0
7.344072819,0,0.201754391,3.433987141,2.862200975,6.938284397,0,6.951772213,0.015388831,0.86717999,0,0,0
6.874198437,0,NA,2.484906673,-0.693147182,6.674561501,1,7.535830498,0.015406051,0.96362555,0,0,0
7.300472736,0,NA,2.890371799,2.140066147,7.046647072,0,7.535830498,0.015406051,0.96362555,0,0,0
5.720311642,0,NA,1.098612309,-0.693147182,5.935351849,1,7.249215126,0.015406051,0.915531337,0,1,0
7.930565834,0,NA,3.465735912,2.525728703,7.242939472,0,7.249215126,0.015406051,0.915531337,0,1,0
5.370637894,0,NA,1.609437943,-0.693147182,4.804020882,1,7.949091434,0.015379307,0.946223319,0,0,0
4.68213129,0,NA,0,0.405465096,4.025351524,0,7.949091434,0.015379307,0.946223319,0,0,0
7.883823395,0,NA,3.931825638,2.740839958,7.642524242,0,7.949091434,0.015379307,0.946223319,0,0,0
4.174387455,0,NA,0,0.405465096,3.433987141,0,7.949091434,0.015379307,0.946223319,0,0,0
7.025538445,0,NA,2.890371799,2.9704144,6.652863026,0,7.949091434,0.015379307,0.946223319,0,0,0
8.929965019,0,NA,4.094344616,-0.693147182,7.744904518,1,9.066007614,0.038861144,0.930057645,0,1,0
9.640108109,0,NA,3.68887949,-0.693147182,9.443918228,1,9.066007614,0.038861144,0.930057645,0,1,0
7.2406497,0,NA,2.302585125,-0.693147182,7.106573582,1,7.162397385,0.038838759,0.979186356,0,1,0
6.995766163,0,NA,NA,-0.693147182,NA,1,7.193686008,0.038838759,0.973661125,0,1,0
8.846496582,0,NA,3.850147486,-0.693147182,8.375896454,1,7.724004745,0.038859263,0.983839929,0,1,0
9.961756706,0,NA,4.276666164,-0.693147182,9.038443565,1,8.565220833,0.038873088,0.980395615,0,1,0
9.596282959,0,NA,NA,-0.693147182,NA,1,8.565220833,0.038873088,0.980395615,0,1,0
6.363028049,0,NA,2.197224617,-0.693147182,5.322368622,1,8.565220833,0.038873088,0.980395615,0,1,0
8.546557426,0,NA,2.995732307,-0.693147182,7.79427433,1,8.566555023,0.038840782,0.964365244,0,1,0
9.415727615,0,NA,3.951243639,-0.693147182,8.763241768,1,8.566555023,0.038840782,0.964365244,0,1,0
8.466320992,0,NA,3.258096457,-0.693147182,7.864094257,1,7.687997341,0.006868867,0.975821674,0,1,0
7.333023071,0,NA,2.302585125,-0.693147182,7.175472736,1,7.956827164,0.038849678,0.975688219,0,1,0
7.738052368,0,NA,2.302585125,-0.693147182,6.990599632,1,7.50494194,0.001029715,0.970976233,0,1,0
8.397508621,0,NA,3.988984108,2.014903069,8.050703049,0,9.866512299,0.00109526,0.814341724,1,0,0
10.825243,0,NA,5.075173855,5.0782938,10.5296669,0,9.866512299,0.00109526,0.814341724,1,0,0
8.496990204,0,NA,5.298317432,-0.693147182,7.972465992,1,9.866512299,0.00109526,0.814341724,1,0,0
6.896694183,0,NA,0.693147182,0.91629076,6.343880653,0,9.866512299,0.00109526,0.814341724,1,0,0
8.517192841,0,NA,2.708050251,-0.693147182,7.625595093,1,9.866512299,0.00109526,0.814341724,1,0,0
7.807916641,0,NA,2.708050251,2.740839958,7.28619194,0,8.877940178,0.001092925,0.62713629,1,0,0
7.207859993,0,NA,2.639057398,-0.693147182,6.551080227,1,8.877940178,0.001092925,0.62713629,1,0,0
5.552959442,0,NA,0,0.405465096,5.192956924,0,8.877940178,0.001092925,0.62713629,1,0,0
7.950150013,0,-0.540000021,2.995732307,1.504077435,8.073091507,0,10.75890255,2.52E-04,0.70448494,1,0,0
6.684611797,0,-0.540000021,2.079441547,-0.693147182,6.26720047,1,10.75890255,2.52E-04,0.70448494,1,0,0
8.874867439,0,-0.540000021,3.178053856,-0.693147182,7.670894623,1,10.75890255,2.52E-04,0.70448494,1,0,0
11.47610569,0,-0.540000021,5.187386036,4.629862785,10.82077789,0,10.75890255,2.52E-04,0.70448494,1,0,0
10.0290184,0,-0.540000021,4.110873699,4.61015749,9.776392937,0,10.75890255,2.52E-04,0.70448494,1,0,0
8.411832809,0,-0.540000021,1.791759491,-0.693147182,8.006367683,1,10.75890255,2.52E-04,0.70448494,1,0,0
8.950273514,0,-0.540000021,3.258096457,3.068053007,7.863266945,0,10.75890255,2.52E-04,0.70448494,1,0,0
7.313220501,0,-0.540000021,3.988984108,-0.693147182,6.497050285,1,10.75890255,2.52E-04,0.70448494,1,1,0
10.44871426,0,-0.540000021,4.499809742,4.412798405,9.90897274,0,10.75890255,2.52E-04,0.70448494,1,0,0
6.726233482,0,NA,0,0.405465096,6.234410763,0,8.817149162,0.055977035,0.440157473,1,0,0
5.583496094,0,NA,0,-0.693147182,5.010635376,1,8.817149162,0.055977035,0.440157473,1,0,0
6.959398746,0,NA,1.098612309,1.252762914,6.739336491,0,6.733401775,0.055953585,0.12618725,1,0,0
7.313220501,0,NA,2.639057398,2.525728703,6.907755375,0,7.325149059,0.055953585,0.409993589,1,0,0
6.551080227,0,NA,1.098612309,-0.693147182,3.951243639,1,7.325149059,0.055953585,0.409993589,1,0,0
7.433666706,0,NA,2.197224617,2.251291752,6.684611797,0,7.325149059,0.055953585,0.409993589,1,0,0
7.095893383,0,NA,3.401197433,2.140066147,6.805722713,0,6.915723324,0.063314311,0.30660376,1,0,0
4.62497282,0,NA,0,-0.693147182,4.060442924,1,7.636752129,0.001090891,0.374741197,1,0,0
7.955775738,0,NA,2.564949274,2.251291752,7.649692535,0,7.636752129,0.001090891,0.374741197,1,0,0
8.553524971,0,NA,3.135494232,2.740839958,8.066207886,0,8.528923988,0.033496596,0.845722616,0,0,0
6.011267185,0,NA,1.386294365,-0.693147182,5.337538242,1,8.528923988,0.033496596,0.845722616,0,0,0
7.887208462,0,NA,3.218875885,3.020424843,7.333023071,0,8.528923988,0.033496596,0.845722616,0,0,0
8.294049263,0,NA,2.197224617,2.014903069,7.783224106,0,7.617759705,0.033496596,0.505121291,0,0,0
8.953123093,0,NA,3.931825638,3.27714467,8.455317497,0,7.766417027,0.033513319,0.940008819,0,0,0
6.093569756,0,NA,2.197224617,-0.693147182,5.192956924,1,7.766417027,0.033513319,0.940008819,0,0,0
3.912023067,0,NA,0,0.405465096,3.218875885,0,7.766417027,0.033513319,0.940008819,0,0,0
8.79300499,0,0.102564104,3.33220458,2.525728703,8.48673439,0,7.323830605,0.033513319,0.822969556,0,0,0
6.24804306,0,0.102564104,2.079441547,-0.693147182,5.56068182,1,7.323830605,0.033513319,0.822969556,0,0,0
8.008365631,0,0.125,3.555348158,3.27714467,7.313220501,0,7.090076923,0.033513319,0.7134884,0,0,0
5.808142662,0,0.125,1.098612309,-0.693147182,5.010635376,1,7.090076923,0.033513319,0.7134884,0,0,0
8.026169777,0,NA,2.890371799,2.44234705,7.812782764,0,6.739336491,0,0.216894984,1,0,0
7.660114288,0,NA,2.944438934,2.140066147,7.27931881,0,7.14598465,0,0.205561072,1,0,0
7.892825603,0,NA,3.68887949,2.740839958,7.134395123,0,7.477604389,0,0.357572705,1,1,0
6.335054398,0,NA,1.098612309,-0.693147182,5.731014252,1,7.477604389,0,0.357572705,1,1,0
8.099858284,0,NA,3.401197433,2.862200975,7.571473598,0,7.037027836,0,0.361296475,1,0,0
6.210599899,0,NA,1.609437943,-0.693147182,5.463831902,1,7.037027836,0,0.361296475,1,0,0
4.174387455,0,NA,0,-0.693147182,3.295836926,1,6.870053291,0,0.273012549,1,0,0
7.817222595,0,NA,3.367295742,2.67414856,7.227662563,0,6.870053291,0,0.273012549,1,0,0
6.483107567,0,NA,0.693147182,0.91629076,6.280395985,0,9.032528877,0.010807082,0.440746635,1,0,0
5.181783676,0,NA,0,0.405465096,4.276666164,0,9.032528877,0.010807082,0.440746635,1,0,0
8.264105797,0,NA,3.091042519,3.238678455,7.613818645,0,9.032528877,0.010807082,0.440746635,1,0,0
8.843182564,0,NA,2.639057398,2.014903069,8.528923988,0,9.032528877,0.010807082,0.440746635,1,0,0
8.294049263,0,NA,2.197224617,-0.693147182,4.941642284,1,9.032528877,0.010807082,0.440746635,1,0,0
8.588582993,0,NA,4.465908051,2.351375341,8.19616127,0,8.265649796,0.010829158,0.240283683,1,0,0
6.104793072,0,NA,2.833213329,0.91629076,5.846438885,0,8.265649796,0.010829158,0.240283683,1,0,0
6.419994831,0,NA,3.433987141,1.871802211,6.335054398,0,8.265649796,0.010829158,0.240283683,1,0,0
7.835974693,0,NA,3.218875885,-0.693147182,7.313220501,1,8.806424141,0.010803853,0.596028864,1,0,0
7.222566128,0,NA,2.079441547,2.140066147,6.659294128,0,8.806424141,0.010803853,0.596028864,1,0,0
7.001245499,0,NA,2.302585125,2.351375341,6.214608192,0,8.806424141,0.010803853,0.596028864,1,0,0
4.912654877,0,NA,0.693147182,0.405465096,3.68887949,0,7.757906437,0.017674005,0.419196874,1,0,0
7.219642162,0,NA,2.079441547,1.704748034,6.756932259,0,7.757906437,0.017674005,0.419196874,1,0,0
6.946976185,0,NA,2.708050251,3.113515377,6.436150551,0,7.460490227,0.017674005,0.431233943,1,0,0
6.684611797,0,NA,1.098612309,-0.693147182,6.396929741,1,7.823646069,0.017683515,0.705805898,1,0,0
5.010635376,0,NA,0.693147182,0.91629076,5.402677536,0,7.823646069,0.017683515,0.705805898,1,0,0
7.625595093,0,NA,3.044522524,2.525728703,6.779922009,0,7.823646069,0.017683515,0.705805898,1,0,0
5.225746632,0,NA,0.693147182,-0.693147182,4.941642284,1,7.181591988,0.017683515,0.272801965,1,0,0
9.17740345,0,NA,2.890371799,2.67414856,8.987196922,0,7.181591988,0.017683515,0.272801965,1,0,0
7.106606007,0,NA,1.386294365,0.91629076,6.752270222,0,6.976347923,0.017707363,0.341712505,1,0,0
6.633318424,0,NA,1.098612309,-0.693147182,6.396929741,1,6.965080261,0.017707363,0.783676684,1,0,0
9.305650711,0,NA,4.990432739,3.921973228,9.014325142,0,6.965080261,0.017707363,0.783676684,1,0,0
9.019180298,0,NA,4.356709003,4.051784992,8.699514389,0,6.711740494,0.017707363,0.75522387,1,0,0
10.16585159,0,NA,4.955827236,3.860729694,9.830916405,0,6.5206213,0.017707363,0.797979772,1,0,0
7.176254749,0,NA,5.225746632,-0.693147182,6.350885868,1,7.780303001,0.005183137,0.362959892,1,0,0
5.111987591,0,NA,0.693147182,0.405465096,4.043051243,0,7.780303001,0.005183137,0.362959892,1,0,0
6.079933167,0,NA,0.693147182,-0.693147182,5.762051582,1,7.780303001,0.005183137,0.362959892,1,0,0
8.349484444,0,NA,4.174387455,2.44234705,8.225234985,0,7.780303001,0.005183137,0.362959892,1,0,0
7.853992939,0,NA,3.218875885,2.44234705,7.02820158,0,7.497761726,0.005183137,0.489438742,1,0,0
8.575462341,0,NA,5.857933044,-0.693147182,6.745236397,1,7.625107288,0.005183137,0.41990456,1,0,0
8.600614548,0,NA,3.637586117,2.525728703,7.942362309,0,7.625107288,0.005183137,0.41990456,1,0,0
8.240120888,0,NA,2.708050251,2.67414856,7.863266945,0,7.770645142,0.008605235,0.261825144,1,0,0
4.736198425,0,NA,0,-0.693147182,4.110873699,1,7.770645142,0.008605235,0.261825144,1,0,0
11.53878784,0,NA,6.472346306,5.195730686,11.1364851,0,7.850103378,0.008605235,0.752353668,1,0,0
5.438079357,0,NA,0,-0.693147182,4.85981226,1,7.850103378,0.008605235,0.752353668,1,0,0
5.247024059,0,NA,0,-0.693147182,4.499809742,1,7.0475173,0.008605235,0.720030963,1,0,0
7.965545654,0,NA,3.526360512,2.44234705,6.846942902,0,7.0475173,0.008605235,0.720030963,1,0,0
8.105005264,0,NA,2.708050251,2.351375341,7.560080528,0,6.714170456,0.008605235,0.186358094,1,0,0
8.23747921,0,NA,3.526360512,1.871802211,7.585788727,0,7.642524242,0.010891205,0.09867578,1,0,0
7.313220501,0,NA,2.833213329,2.140066147,6.309918404,0,7.642524242,0.010891205,0.09867578,1,0,0
7.937374592,0,NA,2.302585125,2.351375341,7.714231014,0,6.947937012,0.010891205,0.206926405,1,0,0
10.30895233,0,NA,4.025351524,3.540959358,9.998797417,0,6.947937012,0.010891205,0.206926405,1,0,0
